Position: x = 0.00240719, y = 0.00485368
Position: x = 0.00240849, y = 0.00485373
Position: x = 0.00240978, y = 0.00485379
Position: x = 0.00241108, y = 0.00485385
Position: x = 0.00241238, y = 0.00485391
Position: x = 0.00241368, y = 0.00485396
Position: x = 0.00241498, y = 0.00485402
Position: x = 0.00241628, y = 0.00485408
Position: x = 0.00241759, y = 0.00485414
Position: x = 0.00241889, y = 0.00485419
Position: x = 0.0024202, y = 0.00485425
Position: x = 0.00242151, y = 0.00485431
Position: x = 0.00242282, y = 0.00485437
Position: x = 0.00242413, y = 0.00485443
Position: x = 0.00242544, y = 0.00485448
Position: x = 0.00242675, y = 0.00485454
Position: x = 0.00242807, y = 0.0048546
Position: x = 0.00242939, y = 0.00485466
Position: x = 0.00243077, y = 0.00485472
Position: x = 0.00243209, y = 0.00485478
Position: x = 0.00243341, y = 0.00485484
Position: x = 0.00243473, y = 0.0048549
Position: x = 0.00243606, y = 0.00485495
Position: x = 0.00243738, y = 0.00485501
Position: x = 0.00243871, y = 0.00485507
Position: x = 0.00244023, y = 0.00484678
Position: x = 0.0024411, y = 0.00484448
Position: x = 0.00244178, y = 0.00484417
Position: x = 0.00244242, y = 0.00484415
Position: x = 0.00244307, y = 0.00484417
Position: x = 0.00244371, y = 0.0048442
Position: x = 0.00244436, y = 0.00484423
Position: x = 0.002445, y = 0.00484426
Position: x = 0.00244565, y = 0.00484429
Position: x = 0.0024463, y = 0.00484432
Position: x = 0.00244695, y = 0.00484435
Position: x = 0.0024476, y = 0.00484438
Position: x = 0.00244825, y = 0.00484441
Position: x = 0.0024489, y = 0.00484444
Position: x = 0.00244955, y = 0.00484447
Position: x = 0.0024502, y = 0.0048445
Position: x = 0.00245085, y = 0.00484453
Position: x = 0.00245151, y = 0.00484456
Position: x = 0.00245216, y = 0.00484459
Position: x = 0.00245282, y = 0.00484462
Position: x = 0.00245348, y = 0.00484465
Position: x = 0.00245413, y = 0.00484468
Position: x = 0.00245479, y = 0.00484471
Position: x = 0.00245545, y = 0.00484474
Position: x = 0.00245611, y = 0.00484477
Position: x = 0.00245677, y = 0.0048448
Position: x = 0.00245743, y = 0.00484483
Position: x = 0.00245809, y = 0.00484486
Position: x = 0.00245876, y = 0.0048449
Position: x = 0.00245942, y = 0.00484493
Position: x = 0.00246008, y = 0.00484496
Position: x = 0.00246075, y = 0.00484499
Position: x = 0.00246141, y = 0.00484502
Position: x = 0.00246208, y = 0.00484505
Position: x = 0.00246275, y = 0.00484508
Position: x = 0.00246342, y = 0.00484511
Position: x = 0.00246409, y = 0.00484514
Position: x = 0.00246476, y = 0.00484517
Position: x = 0.00246543, y = 0.0048452
Position: x = 0.0024661, y = 0.00484523
Position: x = 0.00246677, y = 0.00484527
Position: x = 0.00246745, y = 0.0048453
Position: x = 0.00256718, y = 0.00484624
Position: x = 0.00366824, y = 0.00486917
Position: x = 0.00588405, y = 0.00488731
Position: x = 0.00927238, y = 0.00484562
Position: x = 0.0139542, y = 0.00475433
Position: x = 0.0200008, y = 0.00463746
Position: x = 0.0272018, y = 0.00462808
Position: x = 0.0356374, y = 0.00454923
Position: x = 0.0452569, y = 0.00446314
Position: x = 0.0563297, y = 0.00435834
Position: x = 0.0685954, y = 0.00414114
Position: x = 0.0820842, y = 0.00391047
Position: x = 0.0967113, y = 0.00365255
Position: x = 0.112779, y = 0.00344382
Position: x = 0.130065, y = 0.00321201
Position: x = 0.148695, y = 0.00325076
